Issue Type,Summary,Description,Epic Link,Priority,Story Points,Labels
Epic,Phase 1: Multi-Tenant Foundation,"Tenant context, tenant-aware DB access, tenant admin APIs, isolation tests.",,Highest,13,"phase1,multitenant"
Epic,Phase 1: Advanced Filtering & Saved Searches,"Tenant-safe search endpoint, filter model, saved-search APIs, frontend query builder v1.",,High,8,"phase1,filtering"
Epic,Phase 1: Error Recovery & Resilience,"Retry/backoff, circuit breaker, DLQ, replay endpoint/job, reliability metrics.",,High,8,"phase1,resilience"
Story,Add TenantContext and request interceptor,"Extract tenant claim from JWT and expose request-scoped tenant context.",Phase 1: Multi-Tenant Foundation,Highest,3,"phase1,multitenant,backend"
Story,Create tenant Flyway migration and default tenant seed,"Add tenant tables/config and backfill strategy for existing rows.",Phase 1: Multi-Tenant Foundation,Highest,5,"phase1,multitenant,db"
Story,Make mention/ticket/analytics repositories tenant-scoped,"Apply tenant predicates to all reads/writes and service methods.",Phase 1: Multi-Tenant Foundation,Highest,5,"phase1,multitenant,backend"
Story,Add tenant admin configuration API,"CRUD for handle/brand/tone/flags with role checks.",Phase 1: Multi-Tenant Foundation,High,3,"phase1,multitenant,api"
Story,Add frontend tenant switcher,"Allow user to pick active tenant and persist selection.",Phase 1: Multi-Tenant Foundation,High,3,"phase1,multitenant,frontend"
Story,Add tenant isolation integration tests,"Verify cross-tenant reads/writes are blocked.",Phase 1: Multi-Tenant Foundation,Highest,5,"phase1,multitenant,test"
Story,Implement GET /api/mentions/search endpoint,"Support sentiment/priority/urgency/topic/follower/date/keyword filters.",Phase 1: Advanced Filtering & Saved Searches,High,5,"phase1,filtering,backend"
Story,Add saved search APIs,"Create/list/update/delete saved searches scoped by tenant and user.",Phase 1: Advanced Filtering & Saved Searches,High,3,"phase1,filtering,api"
Story,Build frontend query builder v1,"Form-based query builder with save and reuse flow.",Phase 1: Advanced Filtering & Saved Searches,High,5,"phase1,filtering,frontend"
Story,Add DB indexes for search performance,"Composite indexes for tenant + common filters and sort fields.",Phase 1: Advanced Filtering & Saved Searches,Medium,3,"phase1,filtering,db"
Story,Add retry + exponential backoff for external calls,"Wrap LLM/connectors using retry policy with jitter and cap.",Phase 1: Error Recovery & Resilience,High,5,"phase1,resilience,backend"
Story,Add circuit breaker for external dependencies,"Protect pipeline when providers degrade.",Phase 1: Error Recovery & Resilience,High,3,"phase1,resilience,backend"
Story,Implement DLQ persistence for failed mentions,"Persist non-recoverable failures to DLQ with reason/context.",Phase 1: Error Recovery & Resilience,High,5,"phase1,resilience,db,backend"
Story,Implement DLQ replay endpoint/job,"Allow replay by ID and batch replay for operations.",Phase 1: Error Recovery & Resilience,Medium,3,"phase1,resilience,api,ops"
Story,Add reliability metrics and dashboards,"Expose retry counts, breaker states, DLQ depth.",Phase 1: Error Recovery & Resilience,Medium,3,"phase1,resilience,observability"
Story,Staging hardening and release gate,"Failure-injection tests, rollback runbook, go/no-go checklist.",Phase 1: Error Recovery & Resilience,High,3,"phase1,resilience,release"

